
Variant-level average across 5 folds - Epoch 31
Overall Results:
Macro-F1: 0.4352
Macro-Precision: 0.4862
Macro-Recall: 0.4946
Accuracy: 0.5736

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7458   1.0000       0.5946     0.8089     3.01
2        0.0000   0.0000       0.0000     0.6917     3.01
3        0.0000   0.0000       0.0000     0.4250     3.02
4        0.7869   1.0000       0.6486     0.8917     3.07
5        0.0000   0.0000       0.0000     0.4333     3.81
6        0.0000   0.0000       0.0000     0.6917     3.10
7        0.6422   1.0000       0.4730     0.8375     3.85
8        0.6296   1.0000       0.4595     0.8333     3.90
9        0.0000   0.0000       0.0000     0.6917     3.08
10       0.0000   0.0000       0.0000     0.6917     3.81
11       0.0000   0.0000       0.0000     0.6917     3.89
12       0.0000   0.0000       0.0000     0.2420     3.85
13       0.0000   0.0000       0.0000     0.6917     3.10
14       0.0000   0.0000       0.0000     0.4833     3.85
15       0.0000   0.0000       0.0000     0.6917     3.02
16       0.0000   0.0000       0.0000     0.5287     3.00
17       0.0000   0.0000       0.0000     0.5287     3.08
18       0.7667   1.0000       0.6216     0.8217     3.04
21       0.0000   0.0000       0.0000     0.6974     4.08
22       0.0000   0.0000       0.0000     0.6974     4.13
31       0.0000   0.0000       0.0000     0.5294     3.08
32       0.0000   0.0000       0.0000     0.5294     3.07
33       0.0000   0.0000       0.0000     0.5294     3.19
34       0.0000   0.0000       0.0000     0.2745     3.08
41       0.0000   0.0000       0.0000     0.5294     3.75
42       0.0000   0.0000       0.0000     0.5660     3.23
43       0.9302   1.0000       0.8696     0.9434     3.89
44       0.0000   0.0000       0.0000     0.5294     1.95
45       0.0000   0.0000       0.0000     0.5294     3.95
51       0.0000   0.0000       0.0000     0.5294     3.76
52       0.0000   0.0000       0.0000     0.5294     3.80
53       0.8837   1.0000       0.7917     0.9020     3.90
54       0.0000   0.0000       0.0000     0.5294     3.98
61       0.8205   1.0000       0.6957     0.8679     3.23
62       0.0000   0.0000       0.0000     0.5660     3.91
63       0.0000   0.0000       0.0000     0.5294     3.86
64       0.0000   0.0000       0.0000     0.5294     3.84
65       0.0000   0.0000       0.0000     0.5294     1.95
66       0.0000   0.0000       0.0000     0.5294     3.88
67       0.0000   0.0000       0.0000     0.1242     3.75
68       0.0000   0.0000       0.0000     0.5294     3.96
72       0.0000   0.0000       0.0000     0.5294     62.00
73       0.0000   0.0000       0.0000     0.0000     28.07
74       0.0000   0.0000       0.0000     0.0000     89.42
81       0.0000   0.0000       0.0000     0.5294     1.97
82       0.1053   1.0000       0.0556     0.5556     2.86
83       0.0000   0.0000       0.0000     0.1698     4.17
84       0.0000   0.0000       0.0000     0.5660     4.70
