
Variant-level average across 5 folds - Epoch 24
Overall Results:
Macro-F1: 0.3827
Macro-Precision: 0.3974
Macro-Recall: 0.4831
Accuracy: 0.5751

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.1951   1.0000       0.1081     0.5796     3.01
2        0.0000   0.0000       0.0000     0.6917     3.01
3        0.0000   0.0000       0.0000     0.6208     3.02
4        0.2381   1.0000       0.1351     0.7333     3.07
5        0.0000   0.0000       0.0000     0.6708     3.81
6        0.0000   0.0000       0.0000     0.6917     3.10
7        0.0526   1.0000       0.0270     0.7000     3.85
8        0.0000   0.0000       0.0000     0.6917     3.90
9        0.0000   0.0000       0.0000     0.6917     3.08
10       0.0000   0.0000       0.0000     0.6917     3.81
11       0.0000   0.0000       0.0000     0.6917     3.89
12       0.0000   0.0000       0.0000     0.4586     3.85
13       0.0000   0.0000       0.0000     0.6917     3.10
14       0.0000   0.0000       0.0000     0.6833     3.85
15       0.0000   0.0000       0.0000     0.6917     3.02
16       0.0000   0.0000       0.0000     0.5287     3.00
17       0.0000   0.0000       0.0000     0.5287     3.08
18       0.2588   1.0000       0.1486     0.5987     3.04
21       0.0000   0.0000       0.0000     0.6974     4.08
22       0.0000   0.0000       0.0000     0.6974     4.13
31       0.0000   0.0000       0.0000     0.5294     3.08
32       0.0000   0.0000       0.0000     0.5294     3.07
33       0.0000   0.0000       0.0000     0.5294     3.19
34       0.0000   0.0000       0.0000     0.4314     3.08
41       0.0000   0.0000       0.0000     0.5294     3.75
42       0.0000   0.0000       0.0000     0.5660     3.23
43       0.6471   1.0000       0.4783     0.7736     3.89
44       0.0000   0.0000       0.0000     0.5294     1.95
45       0.0000   0.0000       0.0000     0.5294     3.95
51       0.0000   0.0000       0.0000     0.5294     3.76
52       0.0000   0.0000       0.0000     0.5294     3.80
53       0.4516   1.0000       0.2917     0.6667     3.90
54       0.0000   0.0000       0.0000     0.5294     3.98
61       0.1600   1.0000       0.0870     0.6038     3.23
62       0.0000   0.0000       0.0000     0.5660     3.91
63       0.0000   0.0000       0.0000     0.5294     3.86
64       0.0000   0.0000       0.0000     0.5294     3.84
65       0.0000   0.0000       0.0000     0.5294     1.95
66       0.0000   0.0000       0.0000     0.5294     3.88
67       0.0000   0.0000       0.0000     0.3203     3.75
68       0.0000   0.0000       0.0000     0.5294     3.96
72       0.0000   0.0000       0.0000     0.5294     62.00
73       0.0000   0.0000       0.0000     0.0000     28.07
74       0.0000   0.0000       0.0000     0.0000     89.42
81       0.0000   0.0000       0.0000     0.5294     1.97
82       0.0000   0.0000       0.0000     0.5294     2.86
83       0.0000   0.0000       0.0000     0.3774     4.17
84       0.0000   0.0000       0.0000     0.5660     4.70
