
Variant-level average across 5 folds - Epoch 22
Overall Results:
Macro-F1: 0.3701
Macro-Precision: 0.3329
Macro-Recall: 0.4815
Accuracy: 0.5763

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.0267   1.0000       0.0135     0.5350     3.01
2        0.0000   0.0000       0.0000     0.6917     3.01
3        0.0000   0.0000       0.0000     0.6875     3.02
4        0.0000   0.0000       0.0000     0.6917     3.07
5        0.0000   0.0000       0.0000     0.6917     3.81
6        0.0000   0.0000       0.0000     0.6917     3.10
7        0.0000   0.0000       0.0000     0.6917     3.85
8        0.0000   0.0000       0.0000     0.6917     3.90
9        0.0000   0.0000       0.0000     0.6917     3.08
10       0.0000   0.0000       0.0000     0.6917     3.81
11       0.0000   0.0000       0.0000     0.6917     3.89
12       0.0000   0.0000       0.0000     0.5159     3.85
13       0.0000   0.0000       0.0000     0.6917     3.10
14       0.0000   0.0000       0.0000     0.6917     3.85
15       0.0000   0.0000       0.0000     0.6917     3.02
16       0.0000   0.0000       0.0000     0.5287     3.00
17       0.0000   0.0000       0.0000     0.5287     3.08
18       0.0267   1.0000       0.0135     0.5350     3.04
21       0.0000   0.0000       0.0000     0.6974     4.08
22       0.0000   0.0000       0.0000     0.6974     4.13
31       0.0000   0.0000       0.0000     0.5294     3.08
32       0.0000   0.0000       0.0000     0.5294     3.07
33       0.0000   0.0000       0.0000     0.5294     3.19
34       0.0000   0.0000       0.0000     0.4837     3.08
41       0.0000   0.0000       0.0000     0.5294     3.75
42       0.0000   0.0000       0.0000     0.5660     3.23
43       0.4667   1.0000       0.3043     0.6981     3.89
44       0.0000   0.0000       0.0000     0.5294     1.95
45       0.0000   0.0000       0.0000     0.5294     3.95
51       0.0000   0.0000       0.0000     0.5294     3.76
52       0.0000   0.0000       0.0000     0.5294     3.80
53       0.1772   1.0000       0.0972     0.5752     3.90
54       0.0000   0.0000       0.0000     0.5294     3.98
61       0.0000   0.0000       0.0000     0.5660     3.23
62       0.0000   0.0000       0.0000     0.5660     3.91
63       0.0000   0.0000       0.0000     0.5294     3.86
64       0.0000   0.0000       0.0000     0.5294     3.84
65       0.0000   0.0000       0.0000     0.5294     1.95
66       0.0000   0.0000       0.0000     0.5294     3.88
67       0.0000   0.0000       0.0000     0.3856     3.75
68       0.0000   0.0000       0.0000     0.5294     3.96
72       0.0000   0.0000       0.0000     0.5294     62.00
73       0.0000   0.0000       0.0000     0.0000     28.07
74       0.0000   0.0000       0.0000     0.0000     89.42
81       0.0000   0.0000       0.0000     0.5294     1.97
82       0.0000   0.0000       0.0000     0.5294     2.86
83       0.0000   0.0000       0.0000     0.5283     4.17
84       0.0000   0.0000       0.0000     0.5660     4.70
